Ethnicity,Standard Ethnicity
all,All
all - england,All
all - england's average,All
all aged 16 and over,All
all england,All
all ethnic groups,All
all ethnicity,All
all ethnicities,All
all pupils,All
"white-british, white-other, asian, black, chinese, mixed, other",All
white/black/asian/mixed/chinese/all,All
any other ethnic group,Any other
any other ethnicity,Any other
ethnicity_minor_any_other_ethnic_group,Any other
other - any other,Any other
other ethnic group: other,Any other
other ethnic groups - any other ethnic group,Any other
any other,Any other
other any other,Any other
arab,Arab
other - arab,Arab
other ethnic group: arab,Arab
asian,Asian
asian / asian british,Asian
asian or asian british,Asian
asian/ asian british,Asian
asian/asian british,Asian
ethnicity_major_asian_total,Asian
any other asian,Asian other
any other asian background,Asian other
asian - any other,Asian other
asian - other,Asian other
asian and other,Other
asian or asian british - any other asian background,Asian other
asian: other,Asian other
asian/asian british: other,Asian other
ethnicity_minor_any_other_asian_background,Asian other
other asian,Asian other
any other asian background total,Asian other
asian other,Asian other
asian - bangladeshi,Bangladeshi
asian or asian british - bangladeshi,Bangladeshi
asian/asian british: bangladeshi,Bangladeshi
bangladeshi,Bangladeshi
ethnicity_minor_bangladeshi,Bangladeshi
bangladeshi total,Bangladeshi
black,Black
black / african / caribbean / black british,Black
black african/caribbean/black british,Black
black or black british,Black
black/ african/ caribbean/ black british,Black
black/african/caribbean/black british,Black
black/black british,Black
ethnicity_major_black_total,Black
black/ african/ caribbean/ black british total,Black
african,Black African
black - african,Black African
black african,Black African
black or black british - african,Black African
black-african,Black African
"black, african, caribbean or black british: african",Black African
ethnicity_minor_black_african,Black African
black - caribbean,Black Caribbean
black caribbean,Black Caribbean
black or black british - caribbean,Black Caribbean
black-caribbean,Black Caribbean
"black, african, caribbean or black british: caribbean",Black Caribbean
caribbean,Black Caribbean
ethnicity_minor_black_caribbean,Black Caribbean
any other black / african / caribbean background,Black other
any other black background,Black other
black - any other,Black other
black - any other black,Black other
black - other,Black other
black or black british - any other black background,Black other
black other,Black other
"black, african, caribbean or black british: other",Black other
black: other,Black other
ethnicity_minor_any_other_black_background,Black other
asian - chinese,Chinese
asian/asian british: chinese,Chinese
chinese,Chinese
chinese  - chinese,Chinese
chinese - chinese,Chinese
ethnicity_major_chinese,Chinese
ethnicity_minor_chinese,Chinese
other ethnic group: chinese,Chinese
other ethnic groups - chinese,Chinese
chinese total,Chinese
other chinese,Chinese
chinese and other,Other
chinese or other,Other
chinese or other ethnic group,Other
all ethnic minorities,Other
all other ethnic groups,Other
bame,Other
bme,Other
ethnic minorities,Other
ethnic minority,Other
ethnicity_minority_ethnic_pupil,Other
non-white,Other
asian - indian,Indian
asian or asian british - indian,Indian
asian/asian british: indian,Indian
ethnicity_minor_indian,Indian
indian,Indian
indian total,Indian
ethnicity_major_mixed_total,Mixed
mixed,Mixed
mixed/multiple ethnic background,Mixed
mixed/multiple ethnic group,Mixed
mixed or multiple,Mixed
mixed/ multiple ethnic groups total,Mixed
any other mixed / multiple ethnic background,Mixed other
any other mixed background,Mixed other
any other mixed/multiple ethnic background,Mixed other
ethnicity_minor_any_other_mixed_background,Mixed other
mixed - any other,Mixed other
mixed - any other mixed,Mixed other
mixed - any other mixed background,Mixed other
mixed - other,Mixed other
mixed / multiple ethnic groups,Mixed
mixed ethnic groups,Mixed other
mixed: other,Mixed other
mixed/ multiple ethnic groups,Mixed other
mixed/ multiple/ other,Other
mixed other,Mixed other
ethnicity_minor_white_and_asian,Mixed White/Asian
mixed - white and asian,Mixed White/Asian
mixed white and asian,Mixed White/Asian
mixed: white & asian,Mixed White/Asian
white & asian,Mixed White/Asian
white and asian,Mixed White/Asian
mixed white/asian,Mixed White/Asian
ethnicity_minor_white_and_black_african,Mixed White/Black African
mixed - white and black - african,Mixed White/Black African
mixed - white and black african,Mixed White/Black African
mixed white and black african,Mixed White/Black African
mixed: white & black african,Mixed White/Black African
white & black african,Mixed White/Black African
white and black african,Mixed White/Black African
mixed white/black african,Mixed White/Black African
ethnicity_minor_white_and_black_caribbean,Mixed White/Black Caribbean
mixed - white and black - caribbean,Mixed White/Black Caribbean
mixed - white and black caribbean,Mixed White/Black Caribbean
mixed white and black caribbean,Mixed White/Black Caribbean
mixed: white & black caribbean,Mixed White/Black Caribbean
white & black caribbean,Mixed White/Black Caribbean
white and black caribbean,Mixed White/Black Caribbean
mixed white/black caribbean,Mixed White/Black Caribbean
white & other,Other
ethnicity_major_any_other_ethnic_group,Other
other,Other
other ethnic group,Other
other ethnic groups,Other
other ethnicity,Other
other ethnic group total,Other
mixed/other,Other
other/mixed,Other
other inc mixed,Other
other inc. mixed,Other
asian - pakistani,Pakistani
asian or asian british - pakistani,Pakistani
asian/asian british: pakistani,Pakistani
ethnicity_minor_pakistani,Pakistani
pakistani,Pakistani
pakistani total,Pakistani
asian - pakistani/bangladeshi,Pakistani and Bangladeshi
pakistani/bangladeshi,Pakistani and Bangladeshi
ethnicity_major_unclassified,Unclassified
ethnicity_minor_unclassified,Unclassified
