,,Standard Ethnicity,Parent,Order
White and Other,All,All,All,0
White and Other,Unmatched,Unmatched,Unmatched,9991
White and Other,Not applicable,Not applicable,Not applicable,9999
White and Other,Unclassified,Unclassified,Unclassified,9990
White and Other,Unknown,Unknown,Unknown,9980
White and Other,Arab,,,
White and Other,Asian,,,
White and Other,Asian excluding Chinese,,,
White and Other,Bangladeshi,,,
White and Other,Chinese,,,
White and Other,Indian,,,
White and Other,Pakistani,,,
White and Other,Pakistani and Bangladeshi,,,
White and Other,Asian other,,,
White and Other,Asian other inc Chinese,,,
White and Other,Black,,,
White and Other,Black African,,,
White and Other,Black Caribbean,,,
White and Other,Black other,,,
White and Other,Mixed,,,
White and Other,Mixed White/Asian,,,
White and Other,Mixed White/Black African,,,
White and Other,Mixed White/Black Caribbean,,,
White and Other,Mixed other,,,
White and Other,White,White,White,4000
White and Other,White British,,,
White and Other,White Irish,,,
White and Other,White Gypsy/Traveller,,,
White and Other,Gypsy/Roma,,,
White and Other,Irish traveller,,,
White and Other,White other,,,
White and Other,White other than British,,,
White and Other,Other,Other than White,Other than White,9100
White and Other,Other inc Asian,,,
White and Other,Other inc Chinese,,,
White and Other,Other inc Mixed,,,
White and Other,Other inc Mixed and Chinese,,,
White and Other,Other (inc Gypsy/Traveller/Irish Traveller),,,
White and Other,Other than White,Other than White,Other than White,9100
White and Other,Other than White British,,,
White and Other,Any other,Other than White,Other than White,9100
White British and Other,All,All,All,0
White British and Other,Unmatched,Unmatched,Unmatched,9991
White British and Other,Not applicable,Not applicable,Not applicable,9999
White British and Other,Unclassified,Unclassified,Unclassified,9990
White British and Other,Unknown,Unknown,Unknown,9980
White British and Other,Arab,,,
White British and Other,Asian,,,
White British and Other,Asian excluding Chinese,,,
White British and Other,Bangladeshi,,,
White British and Other,Chinese,,,
White British and Other,Indian,,,
White British and Other,Pakistani,,,
White British and Other,Pakistani and Bangladeshi,,,
White British and Other,Asian other,,,
White British and Other,Asian other inc Chinese,,,
White British and Other,Black,,,
White British and Other,Black African,,,
White British and Other,Black Caribbean,,,
White British and Other,Black other,,,
White British and Other,Mixed,,,
White British and Other,Mixed White/Asian,,,
White British and Other,Mixed White/Black African,,,
White British and Other,Mixed White/Black Caribbean,,,
White British and Other,Mixed other,,,
White British and Other,White,,,
White British and Other,White British,White British,White British,4100
White British and Other,White Irish,,,
White British and Other,White Gypsy/Traveller,,,
White British and Other,Gypsy/Roma,,,
White British and Other,Irish traveller,,,
White British and Other,White other,,,
White British and Other,White other than British,,,
White British and Other,Other,Other than White British,Other than White British,9200
White British and Other,Other inc Asian,,,
White British and Other,Other inc Chinese,,,
White British and Other,Other inc Mixed,,,
White British and Other,Other inc Mixed and Chinese,,,
White British and Other,Other (inc Gypsy/Traveller/Irish Traveller),,,
White British and Other,Other than White,,,
White British and Other,Other than White British,Other than White British,Other than White British,9200
White British and Other,Any other,Other than White British,Other than White British,9200
Aggregated ONS 2001,All,All,All,0
Aggregated ONS 2001,Unmatched,Unmatched,Unmatched,9991
