Ethnicity,Ethnicity_type,Standard Ethnicity,Ethnicity with parent,Parent,Parent-child order
Asian,ONS 2001 5+1,Asian,Asian,Asian,100
Asian,,Asian,Asian,Asian,100
Asian / Asian British,,Asian,Asian,Asian,100
Asian or Asian British,,Asian,Asian,Asian,100
Bangladeshi,ONS 18+1,Bangladeshi,Asian - Bangladeshi,Asian,101
Bangladeshi,,Bangladeshi,Asian - Bangladeshi,Asian,101
Chinese,ONS 18+1,Chinese,Asian - Chinese,Asian,102
Chinese,,Chinese,Asian - Chinese,Asian,102
Indian,ONS 18+1,Indian,Asian - Indian,Asian,103
Indian,,Indian,Asian - Indian,Asian,103
Pakistani,ONS 18+1,Pakistani,Asian - Pakistani,Asian,104
Pakistani,,Pakistani,Asian - Pakistani,Asian,104
Pakistani/Bangladeshi,,Pakistani/Bangladeshi,Asian - Pakistani/Bangladeshi,Asian,105
Asian Other,ONS 18+1,Asian other,Asian - Other,Asian,109
Other Asian,,Asian other,Asian - Other,Asian,109
Any other Asian background,,Asian other,Asian - Other,Asian,109
Asian Other,,Asian other,Asian - Other,Asian,109
Black,ONS 2001 5+1,Black,Black,Black,200
Black,,Black,Black,Black,200
Black / African / Caribbean / Black British,,Black,Black,Black,200
Black or Black British,,Black,Black,Black,200
African,,Black African,Black - African,Black,200
Black African,ONS 18+1,Black African,Black - African,Black,201
Black African,,Black African,Black - African,Black,201
Black Caribbean,ONS 18+1,Black Caribbean,Black - Caribbean,Black,202
Black Caribbean,,Black Caribbean,Black - Caribbean,Black,202
Caribbean,,Black Caribbean,Black - Caribbean,Black,202
Black Other,ONS 18+1,Black other,Black - Other,Black,203
Any other Black / African / Caribbean background,,Black other,Black - Other,Black,203
Any other Black background,,Black other,Black - Other,Black,203
Black Other,,Black other,Black - Other,Black,203
Mixed,ONS 2001 5+1,Mixed,Mixed,Mixed,300
Mixed,,Mixed,Mixed,Mixed,300
Mixed or multiple,,Mixed,Mixed,Mixed,300
Mixed or Multiple,,Mixed,Mixed,Mixed,300
Mixed / Multiple ethnic groups,,Mixed,Mixed,Mixed,300
Mixed White/Asian,ONS 18+1,Mixed White/Asian,Mixed - White/Asian,Mixed,301
Mixed White/Asian,,Mixed White/Asian,Mixed - White/Asian,Mixed,301
White and Asian,,Mixed White/Asian,Mixed - White/Asian,Mixed,301
Mixed White and Asian,,Mixed White/Asian,Mixed - White/Asian,Mixed,301
Mixed White/Black African,ONS 18+1,Mixed White/Black African,Mixed - White/Black African,Mixed,302
Mixed White/Black African,,Mixed White/Black African,Mixed - White/Black African,Mixed,302
White and Black African,,Mixed White/Black African,Mixed - White/Black African,Mixed,302
Mixed White and Black African,,Mixed White/Black African,Mixed - White/Black African,Mixed,302
Mixed White/Black Caribbean,ONS 18+1,Mixed White/Black Caribbean,Mixed - Mixed White/Black Caribbean,Mixed,303
Mixed White/Black Caribbean,,Mixed White/Black Caribbean,Mixed - Mixed White/Black Caribbean,Mixed,303
White and Black Caribbean,,Mixed White/Black Caribbean,Mixed - Mixed White/Black Caribbean,Mixed,303
Mixed White and Black Caribbean,,Mixed White/Black Caribbean,Mixed - Mixed White/Black Caribbean,Mixed,303
Mixed Other,ONS 18+1,Mixed other,Mixed - Other,Mixed,309
Any other Mixed / multiple ethnic background,,Mixed other,Mixed - Other,Mixed,309
Mixed Other,,Mixed other,Mixed - Other,Mixed,309
Any other Mixed/Multiple ethnic background,,Mixed other,Mixed - Other,Mixed,309
White,ONS 2001 5+1,White,White,White,400
White,White and Other,White,White,White,400
White British,White British and Other,White British,White - British,White,401
White,,White,White,White,400
White British,ONS 18+1,White British,White - British,White,401
English / Welsh / Scottish / Northern Irish / British,,White British,White - British,White,401
White British,,White British,White - British,White,401
White-British,,White British,White - British,White,401
White Irish,ONS 18+1,White Irish,White - Irish,White,402
Irish,,White Irish,White - Irish,White,402
White Irish,,White Irish,White - Irish,White,402
White Irish Traveller,ONS 18+1,White Irish Traveller,White - Irish Traveller,White,403
White Irish Traveller,,White Irish Traveller,White - Irish Traveller,White,403
White Gypsy/Roma,ONS 18+1,White Gypsy/Roma,White - Gypsy/Roma,White,404
White Gypsy/Roma,,White Gypsy/Roma,White - Gypsy/Roma,White,404
Gypsy or Irish Traveller,,White Gypsy or Irish Traveller,White - Gypsy or Irish Traveller,White,405
White Other,ONS 18+1,White other,White - other,White,409
Any Other White background,,White other,White - other,White,409
Any other White background,,White other,White - other,White,409
White-Other,,White other,White - other,White,409
Chinese,ONS 2001 5+1,Chinese & other,Chinese & other,Chinese & other,600
All other ethnic groups,,Other,Other,Other,600
Other,,Other,Other,Other,600
Other ethnic group,,Other,Other,Other,600
Other ,,Other,Other,Other,600
Arab,,Arab,Other - Arab,Other,601
Any Other Ethnic Group,ONS 18+1,Any other,Other - Any other,Other,609
Any other ethnic group,,Any other,Other - Any other,Other,609
Any other Ethnicity,,Any other,Other - Any other,Other,609
Unclassified,ONS 18+1,Unclassified,Unclassified,Unclassified/unknown,900
Unknown,ONS 2001 5+1,Unknown,Unknown,Unclassified/unknown,900
BAME,White and Other,BAME,BAME,,900
Other ethnic group,White British and Other,Other ethnic group,Other ethnic group,,900
Unclassified,,Unclassified/unknown,Unclassified/unknown,,900
Unknown,,Unclassified/unknown,Unclassified/unknown,,900
All,,All,All,,1000
All ethnic groups,,All,All,,1000
