Code,Classification short name,Classification long name,Standard,Display,Parent,Order,Required
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",All,All,All,0,
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Bangladeshi,Bangladeshi,Bangladeshi,1100,TRUE
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Chinese,Chinese,Chinese,1200,TRUE
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Indian,Indian,Indian,1300,TRUE
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Pakistani,Pakistani,Pakistani,1400,TRUE
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Asian other,Asian other,Asian other,1900,TRUE
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Black,Black,Black,2000,TRUE
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Mixed,Mixed,Mixed,3000,TRUE
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Other,Other,Other,9000,TRUE
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",White British,White British,White British,4100,TRUE
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",White other,White other,White other,4910,TRUE
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Any other,Other,Other,9000,
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Unknown,Unknown,Unknown,9980,
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Unclassified,Unclassified,Unclassified,9990,
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Unmatched,Unmatched,Unmatched,9991,
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Not applicable,Not applicable,Not applicable,9999,
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Asian,Asian,Asian,1000,
10A,Family resources survey - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",White,White,White,4000,
10B,Longitudinal education outcomes - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed",All,All,All,0,
