name,parent name,uri,parent uri,description,level,source,subtitle,display,White,Mixed,Asian,Black,Other,National
Homepage,,/,,Racial Disparity Audit Homepage,T0,,,,,,,,,
Education,Homepage,/education,/,"Schools, higher education, adult education and where people go after leaving education",T1,,,,,,,,,
Work,Homepage,/work,/,"Employment, inactivity, unemployment, professions, benefits, Job Centres, and the public sector workforce",T1,,,,,,,,,
Housing and Living Standards,Homepage,/housing-and-living-standards,/,"Home ownership, private renting, social housing, being homeless, losing your home, housing conditions, standard of living",T1,,,,,,,,,
Health,Homepage,/health,/,"Physical and mental health, preventing illness, quality of care, access to treatment, patient experiences, patient outcomes",T1,,,,,,,,,
Security and justice,Homepage,/security-and-justice,/,"Justice, crimes, police, border controls",T1,,,,,,,,,
Private life and community,Homepage,/private-life-and-community,/,"Culture and the media, communities, environmental issues, civil action",T1,,,,,,,,,
Housing,Housing and Living Standards,/housing-and-living-standards/housing,/housing-and-living-standards,Housing,T2,,,,,,,,,
Living standards,Housing and Living Standards,/housing-and-living-standards/livingstandards,/housing-and-living-standards,Living standards,T2,,,,,,,,,
Employment,Work,/work/employment,/work,Employment,T2,,,,,,,,,
Benefits,Work,/work/benefits,/work,Benefits,T2,,,,,,,,,
Workplace discrimination,Work,/work/workplacediscrimination,/work,Workplace discrimination,T2,,,,,,,,,
Professions and businesses,Work,/work/professionsandbusinesses,/work,Professions and businesses,T2,,,,,,,,,
Savings and pensions,Work,/work/savingsandpensions,/work,Savings and pensions,T2,,,,,,,,,
Public sector workforce and representatives,Work,/work/publicsectorworkforceandrepresentatives,/work,Public sector workforce and representatives,T2,,,,,,,,,
Internet,Private life and community,/private-life-and-community/internet,/private-life-and-community,Internet,T2,,,,,,,,,
Arts,Private life and community,/private-life-and-community/arts,/private-life-and-community,Arts,T2,,,,,,,,,
Museums/Galleries,Private life and community,/private-life-and-community/museumsgalleries,/private-life-and-community,Museums/Galleries,T2,,,,,,,,,
Heritage,Private life and community,/private-life-and-community/heritage,/private-life-and-community,Heritage,T2,,,,,,,,,
Library,Private life and community,/private-life-and-community/library,/private-life-and-community,Library,T2,,,,,,,,,
Media,Private life and community,/private-life-and-community/media,/private-life-and-community,Media,T2,,,,,,,,,
Belonging,Private life and community,/private-life-and-community/belonging,/private-life-and-community,Belonging,T2,,,,,,,,,
Integration,Private life and community,/private-life-and-community/integration,/private-life-and-community,Integration,T2,,,,,,,,,
Influencing decisions,Private life and community,/private-life-and-community/influencingdecisions,/private-life-and-community,Influencing decisions,T2,,,,,,,,,
Life Satisfaction,Private life and community,/private-life-and-community/lifesatisfaction,/private-life-and-community,Life Satisfaction,T2,,,,,,,,,
Neighbourhood,Private life and community,/private-life-and-community/neighbourhood,/private-life-and-community,Neighbourhood,T2,,,,,,,,,
Civic activism,Private life and community,/private-life-and-community/civicactivism,/private-life-and-community,Civic activism,T2,,,,,,,,,
Volunteering,Private life and community,/private-life-and-community/volunteering,/private-life-and-community,Volunteering,T2,,,,,,,,,
Social Action,Private life and community,/private-life-and-community/socialaction,/private-life-and-community,Social Action,T2,,,,,,,,,
Neighbourhood action,Private life and community,/private-life-and-community/neighbourhoodaction,/private-life-and-community,Neighbourhood action,T2,,,,,,,,,
Exercise & Activity,Health,/health/exerciseactivity,/health,Exercise & Activity,T2,,,,,,,,,
Physical and mental health,Health,/health/physicalandmentalhealth,/health,Physical and mental health,T2,,,,,,,,,
Preventing illness,Health,/health/preventingillness,/health,Preventing illness,T2,,,,,,,,,
Patient outcomes,Health,/health/patientoutcomes,/health,Patient outcomes,T2,,,,,,,,,
Access to treatment,Health,/health/accesstotreatment,/health,Access to treatment,T2,,,,,,,,,
Patient experiences,Health,/health/patientexperiences,/health,Patient experiences,T2,,,,,,,,,
Quality of care,Health,/health/qualityofcare,/health,Quality of care,T2,,,,,,,,,
Pre-school,Education,/education/preschool,/education,Pre-school,T2,,,,,,,,,
Schools and colleges,Education,/education/schoolsandcolleges,/education,Schools and colleges,T2,,,,,,,,,
Where students go after leaving education,Education,/education/wherestudentsgoafterleavingeducation,/education,Where students go after leaving education,T2,,,,,,,,,
Higher education and adult education,Education,/education/highereducationandadulteducation,/education,Higher education and adult education,T2,,,,,,,,,
Homelessness,Housing and living standards,/housing-and-living-standards/homelessness,/housing-and-living-standards,Homelessness,T2,,,,,,,,,
Crimes,Police and Crimes,/crime-justice-and-the-law/policeandcrimes,/crime-justice-and-the-law,Crime,T2,,,,,,,,,
Housing_t3,Housing,/housing-and-living-standards/housing/1,/housing-and-living-standards/housing,Housing,T3,,,,,,,,,
Living standards_t3,Living standards,/housing-and-living-standards/livingstandards/1,/housing-and-living-standards/livingstandards,Living standards,T3,,,,,,,,,
Employment_t3,Employment,/work/employment/1,/work/employment,Employment,T3,,,,,,,,,
Benefits_t3,Benefits,/work/benefits/1,/work/benefits,Benefits,T3,,,,,,,,,
Workplace discrimination_t3,Workplace discrimination,/work/workplacediscrimination/1,/work/workplacediscrimination,Workplace discrimination,T3,,,,,,,,,
Professions and businesses_t3,Professions and businesses,/work/professionsandbusinesses/1,/work/professionsandbusinesses,Professions and businesses,T3,,,,,,,,,
Savings and pensions_t3,Savings and pensions,/work/savingsandpensions/1,/work/savingsandpensions,Savings and pensions,T3,,,,,,,,,
Public sector workforce and representatives_t3,Public sector workforce and representatives,/work/publicsectorworkforceandrepresentatives/1,/work/publicsectorworkforceandrepresentatives,Public sector workforce and representatives,T3,,,,,,,,,
Internet_t3,Internet,/private-life-and-community/internet/1,/private-life-and-community/internet,Internet,T3,,,,,,,,,
Arts_t3,Arts,/private-life-and-community/arts/1,/private-life-and-community/arts,Arts,T3,,,,,,,,,
Museums/Galleries_t3,Museums/Galleries,/private-life-and-community/museumsgalleries/1,/private-life-and-community/museumsgalleries,Museums/Galleries,T3,,,,,,,,,
Heritage_t3,Heritage,/private-life-and-community/heritage/1,/private-life-and-community/heritage,Heritage,T3,,,,,,,,,
Library_t3,Library,/private-life-and-community/library/1,/private-life-and-community/library,Library,T3,,,,,,,,,
Media_t3,Media,/private-life-and-community/media/1,/private-life-and-community/media,Media,T3,,,,,,,,,
Belonging_t3,Belonging,/private-life-and-community/belonging/1,/private-life-and-community/belonging,Belonging,T3,,,,,,,,,
Integration_t3,Integration,/private-life-and-community/integration/1,/private-life-and-community/integration,Integration,T3,,,,,,,,,
Influencing decisions_t3,Influencing decisions,/private-life-and-community/influencingdecisions/1,/private-life-and-community/influencingdecisions,Influencing decisions,T3,,,,,,,,,
Life Satisfaction_t3,Life Satisfaction,/private-life-and-community/lifesatisfaction/1,/private-life-and-community/lifesatisfaction,Life Satisfaction,T3,,,,,,,,,
Neighbourhood_t3,Neighbourhood,/private-life-and-community/neighbourhood/1,/private-life-and-community/neighbourhood,Neighbourhood,T3,,,,,,,,,
Civic activism_t3,Civic activism,/private-life-and-community/civicactivism/1,/private-life-and-community/civicactivism,Civic activism,T3,,,,,,,,,
Volunteering_t3,Volunteering,/private-life-and-community/volunteering/1,/private-life-and-community/volunteering,Volunteering,T3,,,,,,,,,
Social Action_t3,Social Action,/private-life-and-community/socialaction/1,/private-life-and-community/socialaction,Social Action,T3,,,,,,,,,
Neighbourhood action_t3,Neighbourhood action,/private-life-and-community/neighbourhoodaction/1,/private-life-and-community/neighbourhoodaction,Neighbourhood action,T3,,,,,,,,,
Life satisfaction_t3,Life satisfaction,/private-life-and-community/lifesatisfaction/1,/private-life-and-community/lifesatisfaction,Life satisfaction,T3,,,,,,,,,
Exercise & Activity_t3,Exercise & Activity,/health/exerciseactivity/1,/health/exerciseactivity,Exercise & Activity,T3,,,,,,,,,
Physical and mental health_t3,Physical and mental health,/health/physicalandmentalhealth/1,/health/physicalandmentalhealth,Physical and mental health,T3,,,,,,,,,
Preventing illness_t3,Preventing illness,/health/preventingillness/1,/health/preventingillness,Preventing illness,T3,,,,,,,,,
Patient outcomes_t3,Patient outcomes,/health/patientoutcomes/1,/health/patientoutcomes,Patient outcomes,T3,,,,,,,,,
Access to treatment_t3,Access to treatment,/health/accesstotreatment/1,/health/accesstotreatment,Access to treatment,T3,,,,,,,,,
Patient experiences_t3,Patient experiences,/health/patientexperiences/1,/health/patientexperiences,Patient experiences,T3,,,,,,,,,
Quality of care_t3,Quality of care,/health/qualityofcare/1,/health/qualityofcare,Quality of care,T3,,,,,,,,,
Pre-school_t3,Pre-school,/education/preschool/1,/education/preschool,Pre-school,T3,,,,,,,,,
Schools and colleges_t3,Schools and colleges,/education/schoolsandcolleges/1,/education/schoolsandcolleges,Schools and colleges,T3,,,,,,,,,
Where students go after leaving education_t3,Where students go after leaving education,/education/wherestudentsgoafterleavingeducation/1,/education/wherestudentsgoafterleavingeducation,Where students go after leaving education,T3,,,,,,,,,
Higher education and adult education_t3,Higher education and adult education,/education/highereducationandadulteducation/1,/education/highereducationandadulteducation,Higher education and adult education,T3,,,,,,,,,
Police and crimes_t3,Police and crimes,/security-and-justice/policeandcrimes/1,/security-and-justice/policeandcrimes,Police and crimes,T3,,,,,,,,,
Home ownership in England,Housing_t3,/housing-and-living-standards/housing/1/homeownershipinengland,/housing-and-living-standards/housing/1,Home ownership in England,T4,,,,,,,,,
People who get financial help from their parents or grandparents to buy their own home,Housing_t3,/housing-and-living-standards/housing/1/peoplewhogetfinancialhelpfromtheirparentsorgrandparentstobuytheirownhome,/housing-and-living-standards/housing/1,People who get financial help from their parents or grandparents to buy their own home,T4,,,,,,,,,
Average age of people who buy a home,Housing_t3,/housing-and-living-standards/housing/1/averageageofpeoplewhobuyahome,/housing-and-living-standards/housing/1,Average age of people who buy a home,T4,,,,,,,,,
Home buyer deposits in England,Housing_t3,/housing-and-living-standards/housing/1/homebuyerdepositsinengland,/housing-and-living-standards/housing/1,Home buyer deposits in England,T4,,,,,,,,,
People living in social housing in England,Housing_t3,/housing-and-living-standards/housing/1/peoplelivinginsocialhousinginengland,/housing-and-living-standards/housing/1,People living in social housing in England,T4,,,,,,,,,
Reasons for moving into social housing,Housing_t3,/housing-and-living-standards/housing/1/reasonsformovingintosocialhousing,/housing-and-living-standards/housing/1,Reasons for moving into social housing,T4,,,,,,,,,
How long people live in social housing,Housing_t3,/housing-and-living-standards/housing/1/howlongpeopleliveinsocialhousing,/housing-and-living-standards/housing/1,How long people live in social housing,T4,,,,,,,,,
Different routes into social housing,Housing_t3,/housing-and-living-standards/housing/1/differentroutesintosocialhousing,/housing-and-living-standards/housing/1,Different routes into social housing,T4,,,,,,,,,
Vulnerable people living in social housing,Housing_t3,/housing-and-living-standards/housing/1/vulnerablepeoplelivinginsocialhousing,/housing-and-living-standards/housing/1,Vulnerable people living in social housing,T4,,,,,,,,,
Access to social housing,Housing_t3,/housing-and-living-standards/housing/1/accesstosocialhousing,/housing-and-living-standards/housing/1,Access to social housing,T4,,,,,,,,,
