"organisation_type","name","id","abbreviations","other_names"
"Ministerial departments","Attorney General's Office","D1","AGO","Attorney General's Office"
"Ministerial departments","Cabinet Office","D2","",""
"Ministerial departments","Department for Business, Energy & Industrial Strategy","D1198","BEIS","Department for Business, Energy & Industrial Strategy"
"Ministerial departments","Department for Business, Enterprise and Regulatory Reform","D611","",""
"Ministerial departments","Department for Children, Schools and Families","D609","",""
"Ministerial departments","Department for Constitutional Affairs","D587","",""
"Ministerial departments","Department for Digital, Culture, Media and Sport","D5","DCMS","Department for Digital, Culture Media & Sport|Department for Culture, Media & Sport|Department for Digital, Culture, Media & Sport|Digital, Culture, Media and Sport"
"Ministerial departments","Department for Education","D6","DfE","Department for Education"
"Ministerial departments","Department for Employment and Learning","D854","",""
"Ministerial departments","Department for Environment, Food & Rural Affairs","D7","Defra","Department for Environment Food & Rural Affairs"
"Ministerial departments","Department for Exiting the European Union","D1197","DExEU","Department for Exiting the European Union"
"Ministerial departments","Department for International Development","D8","DFID","Department for International Development"
"Ministerial departments","Department for International Trade","D1196","DIT","Department for International Trade"
"Ministerial departments","Department for Regional Development","D747","",""
"Ministerial departments","Department for Social Development","D748","",""
"Ministerial departments","Department for Transport","D9","DfT","Department for Transport"
"Ministerial departments","Department for Work and Pensions","D10","DWP","Department for Work & Pensions"
"Ministerial departments","Department of Agriculture and Rural Development","D753","",""
"Ministerial departments","Department of Culture, Arts and Leisure","D853","",""
"Ministerial departments","Department of Enterprise, Trade and Investment","D750","",""
"Ministerial departments","Department of Finance and Personnel for Northern Ireland","D605","",""
"Ministerial departments","Department of Health and Social Care","D12","DHSC","Department of Health & Social Care|Department of Health"
"Ministerial departments","Department of Health, Social Services and Public Safety","D746","",""
"Ministerial departments","Department of Trade and Industry","D586","",""
"Ministerial departments","Department of the Environment (Northern Ireland)","D591","","Department of the Environment"
"Ministerial departments","Foreign & Commonwealth Office","D13","FCO","Foreign & Commonwealth Office"
"Ministerial departments","HM Treasury","D15","HMT",""
"Ministerial departments","Home Office","D16","Home Office",""
"Ministerial departments","Ministry of Defence","D17","MOD","Ministry of Defence"
"Ministerial departments","Ministry of Housing, Communities and Local Government","D4","DCLG|MHCLG","Department for Communities and Local Government|Ministry of Housing, Communities & Local Government|Ministry of Housing, Communities & Local Government"
"Ministerial departments","Ministry of Justice","D18","MOJ","Ministry of Justice"
"Ministerial departments","Northern Ireland Office","D19","NIO","Northern Ireland Office"
"Ministerial departments","Office of the Advocate General for Scotland","D20","OAG","Office of the Advocate General for Scotland"
"Ministerial departments","Office of the Leader of the House of Commons","D21","OLHC","Office of the Leader of the House of Commons"
"Ministerial departments","Office of the Leader of the House of Lords","D22","OLHL","Office of the Leader of the House of Lords"
"Ministerial departments","Office of the Secretary of State for Wales","D24","WO","Office of the Secretary of State for Wales Swyddfa Ysgrifennydd Gwladol Cymru"
"Ministerial departments","Scotland Office","D23","","Office of the Secretary of State for Scotland"
"Ministerial departments","UK Export Finance","D241","UKEF","UK Export Finance"
"Executive offices","Prime Minister's Office, 10 Downing Street","OT532","Number 10",""
"Non-ministerial departments","Competition and Markets Authority","D550","CMA","Competition and Markets Authority"
"Non-ministerial departments","Crown Prosecution Service","D101","CPS",""
"Non-ministerial departments","Food Standards Agency","D102","FSA",""
"Non-ministerial departments","Forestry Commission","D85","Forestry",""
"Non-ministerial departments","Government Actuary's Department","D103","GAD","Government Actuary's Department"
"Non-ministerial departments","Government Legal Department","D1108","GLD","Government Legal Department"
"Non-ministerial departments","HM Land Registry","D69","HM Land Registry",""
"Non-ministerial departments","HM Revenue & Customs","D25","HMRC","HM Revenue & Customs"
"Non-ministerial departments","NS&I","EA104","NS&I",""
"Non-ministerial departments","National Crime Agency","PB558","NCA",""
"Non-ministerial departments","Office of Rail and Road","D1117","ORR","Office of Rail and Road"
"Non-ministerial departments","Ofgem","D108","",""
"Non-ministerial departments","Ofqual","D109","Ofqual",""
"Non-ministerial departments","Ofsted","D106","Ofsted",""
"Non-ministerial departments","Serious Fraud Office","D115","SFO",""
"Non-ministerial departments","Supreme Court of the United Kingdom","D435","SCUK","Supreme Court of the United Kingdom"
