dimension_id,Measure title,Current dimension title,New dimension title
5d66f12334474fd076aa17715ba97b9a3534b5a1,Absence from school,Overall absence by ethnicity,
cf3254185c591a72cd5441febf7298dbf85cf69d,Absence from school,Persistent absence by ethnicity,
a4cd609f79db88ce0f68929a4af5091488e7b0b2,Absence from school,Overall absence by ethnicity and type of school,
2e31ebe9bc947c62206f1522e307327bf1df4cc6,Absence from school,Persistent absence by ethnicity and type of school,
bd08b82908b2cc3adc8c336ca787bdf0c0f53c83,Absence from school,Overall absence by ethnicity and local authority,
d585751d7dd36fa423d10869b309548dd1674e75,Absence from school,Persistent absence by ethnicity and local authority,
9645107818bbf1859e9728d13715d48fd6e48827,Absence of tooth decay in 5 year olds,Absence of tooth decay in 5 year olds,By ethnicity
85fd2ff16ab239a5fb23a97af95e3d649abc23fc,Access to NHS dental services,Access to NHS dental services,By ethnicity over time
5f62398140a5aaabae99a91a158557cee418491d,Adult smokers,Adult smokers by ethnicity,By ethnicity
3e38473d3dcc635c5cace6fcdeb98d2d260bbf22,Adult smokers,Adult smokers by ethnicity over time,By ethnicity over time
2dfcd4780ab3b9fb54fcc1c6d3a09f55fe9099e2,Adults experiencing a psychotic disorder,Psychotic disorder in adults by ethnicity and sex,By ethnicity and sex
8fbb2c39b7535d5ee5710c3781f77b392b2e2ad8,Adults experiencing common mental disorders,Percentage of people with a common mental disorder by sex and ethnicity,By ethnicity and sex
a3f150676def061e3fda3bf679f011304db0e2ab,Adults receiving treatment for mental or emotional problems,Adults receiving treatment for mental or emotional problems by ethnicity,By ethnicity
c2b879ae69b9d3a2eae2b58558be8f40e3b35f99,"Adults reporting suicidal thoughts, attempts and self harm",Suicidal thoughts or attempts and self-harm in adults,By ethnicity
814fd955f21bf705182a11f628b721aa0899d6a8,Adults screening positive for bipolar disorder,Adults screening positive for bipolar disorder by ethnicity and sex,By ethnicity and sex
57725c4605b92ded508a5eff799a8c4e178dfdca,Adults using NHS-funded mental health and learning disability services,Rates of adults using NHS-funded secondary mental health and learning disability services,By ethnicity
2b0a3376b70b8b3f54f80776445d3f8402670f9d,Adults with post-traumatic stress disorder (PTSD) in the month prior to survey,Percentage of adults screening positive for PTSD in the month prior to the survey by ethnicity and sex,By ethnicity and sex
dae5e7a809d0cff1fcae776d6f57056ed8bdcd13,Age groups,Average age by ethnicity,
528cecc95b709b27b035a16f1e16484631a2629a,Age groups,Age profile by ethnicity,
1e93aa4eab98b2389906c8e7a25783ee7bd9104f,Age groups,Asian ethnic groups: age profile,
9ac4034ea4b19482231dba8b3e1907f73cae5433,Age groups,Black ethnic groups: age profile,
bb6ed412b20a126f98026c24211edc244cb7f702,Age groups,Mixed ethnic groups: age profile,
b3545eb3fb50ca91c19216c6056e3174dd79b4ab,Age groups,White ethnic groups: age profile,
983d873664b61948d43ad56d2624131c683dd28d,Age groups,Other ethnic groups: age profile,
e970cdf6a3c441482d7fffba603d2ec594986c8c,Age of first-time buyers,Average age of first-time buyers by ethnicity,By ethnicity
3fc3cf5e33a032cbaa36bad1e8aa738b199ddbc6,Apprenticeship starts,Percentage of apprenticeship starts by ethnicity over time,By ethnicity over time
25c3c5480ece976e0ad14b62beadbd8bbe05fd09,Apprenticeship starts,"Percentage of apprenticeship starts, compared with the overall population, by ethnicity",By ethnicity compared with the overall population
4eaff371665f041fef81bb06a7318c25f8b899a9,Armed forces workforce,"Armed forces personnel by ethnicity, service and rank","By ethnicity, service and rank"
124a8559c6d4de0f8b6904ca1ed4b9cf3dd68134,Armed forces workforce,Armed forces personnel in officer ranks by ethnicity and service over time,By ethnicity and service over time (officers only)
0ad1dbcd4376d0b6f4c0e8050e76e44d6d83313c,Armed forces workforce,Armed forces personnel in non-officer ranks by ethnicity and service over time,By ethnicity and service over time (non-officer ranks only)
b46fecdb895e91908af50fc3a2cb9ecedb1e853e,Armed forces workforce,All armed forces personnel by ethnicity and rank,By ethnicity and rank
8cebfb50b4045b657fae00133eb1f654c958ca31,Arrests,Arrests by ethnicity,By ethnicity
9d2e05df27591bb29034bdbcc8c32fc197aae649,Arrests,Arrests by ethnicity over time,By ethnicity over time
b6887964dc6361a6a98e6992068ef8758c609a25,Arrests,Arrests by ethnicity and area,By ethnicity and area
a34bd546436e01ed59cf5227e29ac54ea686bf82,Arrests,Arrests by ethnicity and gender,By ethnicity and gender
b83e2366a501b836e999609917e2bf4b780462eb,Assaults carried out by young people in custody,Assaults carried out by young people in custody by ethnicity,By ethnicity
d23a60f8fa7e57ece57b7e9407737f051793ee06,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity,By ethnicity
a49d5bd9d257c33868a96cf9eb0cb0f3fcd2d9d7,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity and eligibility for free school meals (FSM),By ethnicity and eligibility for free school meals
55e5f81dac1f5f8ac922bb433bf80bd84e389f9b,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity and area,By ethnicity and area
ef8d5b7e755efc097b344e4db94d70e6b6b21ee6,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity and gender,By ethnicity and gender
8c57a1f48ff87d1dbfcdc6641c32abbcf207b70c,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),"Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity, gender and eligibility for free school meals (FSM)","By ethnicity, gender and eligibility for free school meals"
d4b147df893074df09a19e69ab7e08f905a81dcd,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),"Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity, gender and area","By ethnicity, gender and area"
48255966c5a4bf9dc689491b732934958017ac9a,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),"Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity, gender and basis for school admission","By ethnicity, gender and type of selection"
e3c13557b5c08e28edad52d646eac5213a2528d0,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity and school type,By ethnicity and type of school
fd9d0b06f1a40d796cff07d7bc307825dbdcdc42,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),"Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity, special education needs (SEN) and gender","By ethnicity, special education needs and gender"
b24b22599e0188a5d4b97cfbb18bba74e9e0307a,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),"Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity, religion of school and gender","By ethnicity, religion of school and gender"
59a68fefffe311de696134d996e41fe5f48e1ccb,Attainment of development goals by children aged 4 to 5 years,Attainment of development goals by ethnicity,By ethnicity
ff2d587d31169f4fbaf31559b2e929bd1e15201d,Attainment of development goals by children aged 4 to 5 years,Attainment of development goals by ethnicity and eligibility for free school meals (FSM),By ethnicity and eligibility for free school meals
0e24b9799255c0960e84035970679a8c4288b168,Attainment of development goals by children aged 4 to 5 years,Attainment of development goals by ethnicity and area,By ethnicity and area
a47a98dc1b69abe337dab4fdd1ff3a9eb23a06ed,Attainment of development goals by children aged 4 to 5 years,Attainment of development goals by ethnicity and gender,By ethnicity and gender
61710d77f2c820786840e9cf201ea756856baa8e,Attainment of development goals by children aged 4 to 5 years,"Attainment of development goals by ethnicity, gender and eligibility for free school meals (FSM)","By ethnicity, gender and eligibility for free school meals"
4ec9ba1b0a11b5cb35c0d48657498b88ded593f9,Attainment of development goals by children aged 4 to 5 years,"Attainment of development goals by ethnicity, gender and area","By ethnicity, gender and area"
e16f5de5e2008deb4526c2c5eba26f1c102f6e5f,Average hourly pay,Average hourly pay by ethnicity,By ethnicity
